audiofile,audiofile2,audiofile3,country,documentationscore,eastlimit,grammar15,iso6393,latitude,lexicon15,linktext2,linkurl2,longitude,name,northlimit,numberofspeakers,numSpeakers,region,southlimit,texts15,title,westlimit,linktext4,linkurl4,linktext,linktext3,linkurl,linkurl3
,,,Vanuatu,1,167.688,1,pgk,-16.288506,0,See OLAC information about Rerep,http://www.language-archives.org/language/pgk,167.658234,Rerep,-16.257,380,0.03,pacific,-16.312,0,Rerep,167.614,See the wikipedia entry for Rerep,http://en.wikipedia.org/wiki/Rerep_language,,,,
,,,Vanuatu,0,166.764,0,vnp,-14.881087,0,See OLAC information about Vunapu,http://www.language-archives.org/language/vnp,166.727142,Vunapu,-14.768,380,0.03,pacific,-14.937,0,Vunapu,166.618,See the wikipedia entry for Vunapu,http://en.wikipedia.org/wiki/Vunapu_language,,,,
,,,Vanuatu,1,168.205,1,bki,-16.705917,0,See OLAC information about Baki,http://www.language-archives.org/language/bki,168.171844,Baki,-16.69,350,0.03,pacific,-16.732,0,Baki,168.125,See the wikipedia entry for Baki,http://en.wikipedia.org/wiki/Baki_language,,,,
,,,Vanuatu,0,167.11,0,lnn,-15.24444,0,See OLAC information about Lorediakarkar,http://www.language-archives.org/language/lnn,167.078705,Lorediakarkar,-15.158,340,0.03,pacific,-15.239,0,Lorediakarkar,166.963,See the wikipedia entry for Lorediakarkar,http://en.wikipedia.org/wiki/Lorediakarkar_language,,,,
,,,Vanuatu,0,166.68,0,vlp,-14.793472,0,See OLAC information about Valpei,http://www.language-archives.org/language/vlp,166.629639,Valpei,-14.627,300,0.03,pacific,-14.8,0,Valpei,166.531,See the wikipedia entry for Valpei,http://en.wikipedia.org/wiki/Valpei_language,,,,
,,,Vanuatu,0,167.035,0,alm,-15.543668,0,See OLAC information about Amblong,http://www.language-archives.org/language/alm,166.970215,Varavara,-15.447,300,0.03,pacific,-15.555,0,Varavara,166.865,See the wikipedia entry for Varavara,http://en.wikipedia.org/wiki/Amblong_language,,,,
,,,Vanuatu,0,166.772,0,wsi,-15.363653,0,See OLAC information about Wusi,http://www.language-archives.org/language/wsi,166.739502,Wusi,-15.173,300,0.03,pacific,-15.409,0,Wusi,166.62,See the wikipedia entry for Wusi,http://en.wikipedia.org/wiki/Wusi_language,,,,
,,,Vanuatu,8,NULL,1,vra,-13.86808,2,See OLAC information about Vera’a,http://www.language-archives.org/language/vra,167.405205,Vera’a,NULL,280,0.02,pacific,NULL,3,Vera’a,NULL,See the wikipedia entry for Vera’a,http://en.wikipedia.org/wiki/Vera'a_language,,,,
,,,Vanuatu,1,167.541,1,urr,-13.5406,1,See OLAC information about Lehalurup,http://www.language-archives.org/language/urr,167.336,Lehalurup,-13.512,250,0.02,pacific,-13.616,2,Lehalurup,167.295,,,,,,
,,,Vanuatu,4,167.37,1,tql,-13.530188,1,See OLAC information about Lehali,http://www.language-archives.org/language/tql,167.296715,Lehali,-13.481,250,0.02,pacific,-13.527,1,Lehali,167.294,See the wikipedia entry for Lehali,http://en.wikipedia.org/wiki/Lehali_language,,,,
VG1-06028-1,,,Vanuatu,10,167.256,5,mkv,-15.290146,1,See OLAC information about Mavea,http://www.language-archives.org/language/mkv,167.217064,Mavea,-15.377,250,0.02,pacific,-15.463,1,Mavea,167.208,See the wikipedia entry for Mavea,http://en.wikipedia.org/wiki/Mavea_language,,,,
,,,Vanuatu,0,167.133,0,plb,-15.482798,0,See OLAC information about Polonombauk,http://www.language-archives.org/language/plb,167.178955,Polonombauk,-15.422,220,0.02,pacific,-15.507,0,Polonombauk,167.047,See the wikipedia entry for Polonombauk,http://en.wikipedia.org/wiki/Polonombauk_language,,,,
,,,Vanuatu,0,168.274,0,mmm,-16.744715,0,See OLAC information about Maii,http://www.language-archives.org/language/mmm,168.202057,Maii,-16.711,180,0.02,pacific,-16.777,0,Maii,168.147,See the wikipedia entry for Maii,http://en.wikipedia.org/wiki/Maii_language,,,,
,,,Vanuatu,10,167.597,2,wwo,-14.366427,1,See OLAC information about Dorig,http://www.language-archives.org/language/wwo,167.545195,Dorig,-14.217,160,0.01,pacific,-14.339,3,Dorig,167.502,See the wikipedia entry for Dorig,http://en.wikipedia.org/wiki/Dorig_language,See a story in Dorig,,http://alex.francois.free.fr/AFtxt_drg-elves_e.htm,
