CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude
kibinem,malas,mkr,Nuclear Trans New Guinea,kibinɛm,yam,Madang Comparative Wordlists,-4.76685,145.621
yinyim,malas,mkr,Nuclear Trans New Guinea,yinyim,yam,Madang Comparative Wordlists,-4.76685,145.621
alam,male,mdc,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.49975,145.757
sambi,male,mdc,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.49975,145.757
murg,matepi,mqe,Nuclear Trans New Guinea,mur̃ʌːg,yam,Madang Comparative Wordlists,-5.13857,145.617
o,matepi,mqe,Nuclear Trans New Guinea,Ø,yam,Madang Comparative Wordlists,-5.13857,145.617
ibok,mauwake,mhl,Nuclear Trans New Guinea,ibokʌ,yam,Madang Comparative Wordlists,-4.52416,145.394
oloba,mauwake,mhl,Nuclear Trans New Guinea,oloba,yam,Madang Comparative Wordlists,-4.52416,145.394
mareb,mawak,mjj,Nuclear Trans New Guinea,mareb,yam,Madang Comparative Wordlists,-4.61817,145.283
sab,mawak,mjj,Nuclear Trans New Guinea,sab,yam,Madang Comparative Wordlists,-4.61817,145.283
murak,mawan,mcz,Nuclear Trans New Guinea,murak,yam,Madang Comparative Wordlists,-5.2219,145.589
o,mawan,mcz,Nuclear Trans New Guinea,Ø:,yam,Madang Comparative Wordlists,-5.2219,145.589
ayab,miani,pla,Nuclear Trans New Guinea,ayab,yam,Madang Comparative Wordlists,-4.42116,145.276
wanaz,miani,pla,Nuclear Trans New Guinea,wanaz,yam,Madang Comparative Wordlists,-4.42116,145.276
beb,migum,klm,Nuclear Trans New Guinea,beb,yam,Madang Comparative Wordlists,-5.57832,146.212
nai,migum,klm,Nuclear Trans New Guinea,ñai,yam,Madang Comparative Wordlists,-5.57832,146.212
isieb,moere,mvq,Nuclear Trans New Guinea,isieb,yam,Madang Comparative Wordlists,-4.62246,145.458
kinin,moere,mvq,Nuclear Trans New Guinea,kinin,yam,Madang Comparative Wordlists,-4.62246,145.458
momok,moresada,msx,Nuclear Trans New Guinea,mɔmɔk,yam,Madang Comparative Wordlists,-4.57497,144.988
yambb,moresada,msx,Nuclear Trans New Guinea,yambʌb,yam,Madang Comparative Wordlists,-4.57497,144.988
br,mosimo,mqv,Nuclear Trans New Guinea,ʔbʌrʌ,yam,Madang Comparative Wordlists,-4.95226,145.605
sabili,mosimo,mqv,Nuclear Trans New Guinea,sabili,yam,Madang Comparative Wordlists,-4.95226,145.605
konzo,mum,kqa,Nuclear Trans New Guinea,konzo,yam,Madang Comparative Wordlists,-4.83462,145.059
nambara,mum,kqa,Nuclear Trans New Guinea,ñambara,yam,Madang Comparative Wordlists,-4.83462,145.059
nana,mum,kqa,Nuclear Trans New Guinea,ñaña,yam,Madang Comparative Wordlists,-4.83462,145.059
kakli,munit,mtc,Nuclear Trans New Guinea,kakʌːli,yam,Madang Comparative Wordlists,-5.24329,145.548
memi,munit,mtc,Nuclear Trans New Guinea,memi,yam,Madang Comparative Wordlists,-5.24329,145.548
nemi,munit,mtc,Nuclear Trans New Guinea,nemi,yam,Madang Comparative Wordlists,-5.24329,145.548
gamg,murupi,mqw,Nuclear Trans New Guinea,gamʌg,yam,Madang Comparative Wordlists,-5.0245,145.606
sabela,murupi,mqw,Nuclear Trans New Guinea,sabɛla,yam,Madang Comparative Wordlists,-5.0245,145.606
ibu,musak,mmq,Nuclear Trans New Guinea,iːbʉ,yam,Madang Comparative Wordlists,-5.37407,145.197
sabr,musak,mmq,Nuclear Trans New Guinea,sabʌr,yam,Madang Comparative Wordlists,-5.37407,145.197
hep,musar,mmi,Nuclear Trans New Guinea,heʌp,yam,Madang Comparative Wordlists,-4.70258,145.413
saneng,musar,mmi,Nuclear Trans New Guinea,sa:neŋ,yam,Madang Comparative Wordlists,-4.70258,145.413
o,nake,nbk,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.09087,145.655
savel,nake,nbk,Nuclear Trans New Guinea,savɛl,yam,Madang Comparative Wordlists,-5.09087,145.655
awije,nend,anh,Nuclear Trans New Guinea,awije,yam,Madang Comparative Wordlists,-5.04271,144.886
unza,nend,anh,Nuclear Trans New Guinea,unʑa,yam,Madang Comparative Wordlists,-5.04271,144.886
au,nobonob,gaw,Nuclear Trans New Guinea,au,yam,Madang Comparative Wordlists,-5.06952,145.712
daber,nobonob,gaw,Nuclear Trans New Guinea,dabɛr̃,yam,Madang Comparative Wordlists,-5.06952,145.712
hambi,ogea,eri,Nuclear Trans New Guinea,ha:mbi,yam,Madang Comparative Wordlists,-5.37766,145.71
mona,ogea,eri,Nuclear Trans New Guinea,moña,yam,Madang Comparative Wordlists,-5.37766,145.71
me,pal,abw,Nuclear Trans New Guinea,mɛ,yam,Madang Comparative Wordlists,-4.756,145.24
touna,pal,abw,Nuclear Trans New Guinea,touna,yam,Madang Comparative Wordlists,-4.756,145.24
mr,pamosu,hih,Nuclear Trans New Guinea,mʌr,yam,Madang Comparative Wordlists,-4.69874,145.288
obut,pamosu,hih,Nuclear Trans New Guinea,obut,yam,Madang Comparative Wordlists,-4.69874,145.288
malg,panim,pnr,Nuclear Trans New Guinea,malʌg,yam,Madang Comparative Wordlists,-5.21388,145.752
o,panim,pnr,Nuclear Trans New Guinea,o:,yam,Madang Comparative Wordlists,-5.21388,145.752
agati,paynamar,pmr,Nuclear Trans New Guinea,agati,yam,Madang Comparative Wordlists,-4.94303,144.879
unza,paynamar,pmr,Nuclear Trans New Guinea,unza,yam,Madang Comparative Wordlists,-4.94303,144.879
kamu,pulabu,pup,Nuclear Trans New Guinea,ka:mu,yam,Madang Comparative Wordlists,-5.59558,145.738
munggli,pulabu,pup,Nuclear Trans New Guinea,muŋgʌli,yam,Madang Comparative Wordlists,-5.59558,145.738
igon,rapting,rpt,Nuclear Trans New Guinea,igon,yam,Madang Comparative Wordlists,-4.99351,145.671
tawel,rapting,rpt,Nuclear Trans New Guinea,tawɛl,yam,Madang Comparative Wordlists,-4.99351,145.671
di,rempi,rmp,Nuclear Trans New Guinea,diː,yam,Madang Comparative Wordlists,-5.02487,145.782
igon,rempi,rmp,Nuclear Trans New Guinea,iːgon,yam,Madang Comparative Wordlists,-5.02487,145.782
halim,rerau,rea,Nuclear Trans New Guinea,halim,yam,Madang Comparative Wordlists,-5.51361,145.716
sambi,rerau,rea,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.51361,145.716
kung,saep,spd,Nuclear Trans New Guinea,kuŋ,yam,Madang Comparative Wordlists,-5.64812,146.078
maleg,saep,spd,Nuclear Trans New Guinea,malɛg,yam,Madang Comparative Wordlists,-5.64812,146.078
alam,sam,snx,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.55572,145.813
sambi,sam,snx,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.55572,145.813
ara,samosa,swm,Nuclear Trans New Guinea,ara,yam,Madang Comparative Wordlists,-5.01391,145.537
gere,samosa,swm,Nuclear Trans New Guinea,gere,yam,Madang Comparative Wordlists,-5.01391,145.537
o,saruga,sra,Nuclear Trans New Guinea,o,yam,Madang Comparative Wordlists,-5.08824,145.578
savela,saruga,sra,Nuclear Trans New Guinea,savela,yam,Madang Comparative Wordlists,-5.08824,145.578
nbo,sausi,ssj,Nuclear Trans New Guinea,nʌːbo,yam,Madang Comparative Wordlists,-5.6873,145.492
ou,sausi,ssj,Nuclear Trans New Guinea,ou,yam,Madang Comparative Wordlists,-5.6873,145.492
mark,sihan,snr,Nuclear Trans New Guinea,marʌk,yam,Madang Comparative Wordlists,-5.28029,145.574
o,sihan,snr,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.28029,145.574
siwr,sihan,snr,Nuclear Trans New Guinea,siwʌr,yam,Madang Comparative Wordlists,-5.28029,145.574
kuni,sileibi,sbq,Nuclear Trans New Guinea,kuñi,yam,Madang Comparative Wordlists,-4.98243,145.225
nam,sileibi,sbq,Nuclear Trans New Guinea,ñam,yam,Madang Comparative Wordlists,-4.98243,145.225
kakr,silopi,xsp,Nuclear Trans New Guinea,kakʌr,yam,Madang Comparative Wordlists,-5.12302,145.586
o,silopi,xsp,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.12302,145.586
hou,sinsauru,snz,Nuclear Trans New Guinea,hou,yam,Madang Comparative Wordlists,-5.64336,145.599
tebel,sinsauru,snz,Nuclear Trans New Guinea,tɛbɛl,yam,Madang Comparative Wordlists,-5.64336,145.599
marang,siroi,ssd,Nuclear Trans New Guinea,mar̃aŋ,yam,Madang Comparative Wordlists,-5.52893,145.994
ngaad,siroi,ssd,Nuclear Trans New Guinea,ŋaʔad,yam,Madang Comparative Wordlists,-5.52893,145.994
deig,sop,urw,Nuclear Trans New Guinea,deig,yam,Madang Comparative Wordlists,-5.49605,145.361
gegu,sop,urw,Nuclear Trans New Guinea,gɛːgu,yam,Madang Comparative Wordlists,-5.49605,145.361
kib,sop,urw,Nuclear Trans New Guinea,kibʌ,yam,Madang Comparative Wordlists,-5.49605,145.361
iba,sumau,six,Nuclear Trans New Guinea,iba,yam,Madang Comparative Wordlists,-5.48556,145.474
murk,sumau,six,Nuclear Trans New Guinea,murʌk,yam,Madang Comparative Wordlists,-5.48556,145.474
niomo,tauya,tya,Nuclear Trans New Guinea,niomo,yam,Madang Comparative Wordlists,-5.74255,145.366
onamo,tauya,tya,Nuclear Trans New Guinea,onamo,yam,Madang Comparative Wordlists,-5.74255,145.366
kea,ukuriguma,ukg,Nuclear Trans New Guinea,kea,yam,Madang Comparative Wordlists,-4.94407,145.514
zaberam,ukuriguma,ukg,Nuclear Trans New Guinea,zaberam,yam,Madang Comparative Wordlists,-4.94407,145.514
dembere,urigina,urg,Nuclear Trans New Guinea,dɛːmbɛrɛ,yam,Madang Comparative Wordlists,-5.58982,145.507
kome,urigina,urg,Nuclear Trans New Guinea,ko:me,yam,Madang Comparative Wordlists,-5.58982,145.507
mni,usan,wnu,Nuclear Trans New Guinea,mʌni,yam,Madang Comparative Wordlists,-4.84265,145.362
tan,usan,wnu,Nuclear Trans New Guinea,tan,yam,Madang Comparative Wordlists,-4.84265,145.362
