CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude,Number
br,mosimo,mqv,Nuclear Trans New Guinea,ʔbʌrʌ,yam,Madang Comparative Wordlists,-4.95226,145.605,0.05917153311012
sabili,mosimo,mqv,Nuclear Trans New Guinea,sabili,yam,Madang Comparative Wordlists,-4.95226,145.605,0.636547979090306
konzo,mum,kqa,Nuclear Trans New Guinea,konzo,yam,Madang Comparative Wordlists,-4.83462,145.059,0.0489284003270875
nambara,mum,kqa,Nuclear Trans New Guinea,ñambara,yam,Madang Comparative Wordlists,-4.83462,145.059,0.0912284177854039
nana,mum,kqa,Nuclear Trans New Guinea,ñaña,yam,Madang Comparative Wordlists,-4.83462,145.059,0.368510130222468
kakli,munit,mtc,Nuclear Trans New Guinea,kakʌːli,yam,Madang Comparative Wordlists,-5.24329,145.548,0.442928550300286
memi,munit,mtc,Nuclear Trans New Guinea,memi,yam,Madang Comparative Wordlists,-5.24329,145.548,0.466110080455927
nemi,munit,mtc,Nuclear Trans New Guinea,nemi,yam,Madang Comparative Wordlists,-5.24329,145.548,0.583805987713716
gamg,murupi,mqw,Nuclear Trans New Guinea,gamʌg,yam,Madang Comparative Wordlists,-5.0245,145.606,0.801508796603397
sabela,murupi,mqw,Nuclear Trans New Guinea,sabɛla,yam,Madang Comparative Wordlists,-5.0245,145.606,0.853135552750466
ibu,musak,mmq,Nuclear Trans New Guinea,iːbʉ,yam,Madang Comparative Wordlists,-5.37407,145.197,0.352821924673621
sabr,musak,mmq,Nuclear Trans New Guinea,sabʌr,yam,Madang Comparative Wordlists,-5.37407,145.197,0.53656810105912
hep,musar,mmi,Nuclear Trans New Guinea,heʌp,yam,Madang Comparative Wordlists,-4.70258,145.413,0.722195947356918
saneng,musar,mmi,Nuclear Trans New Guinea,sa:neŋ,yam,Madang Comparative Wordlists,-4.70258,145.413,0.271738796866589
o,nake,nbk,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.09087,145.655,0.326054383878441
savel,nake,nbk,Nuclear Trans New Guinea,savɛl,yam,Madang Comparative Wordlists,-5.09087,145.655,0.37326643107353
awije,nend,anh,Nuclear Trans New Guinea,awije,yam,Madang Comparative Wordlists,-5.04271,144.886,0.198773272247436
unza,nend,anh,Nuclear Trans New Guinea,unʑa,yam,Madang Comparative Wordlists,-5.04271,144.886,0.544407211780265
au,nobonob,gaw,Nuclear Trans New Guinea,au,yam,Madang Comparative Wordlists,-5.06952,145.712,0.410011053485356
daber,nobonob,gaw,Nuclear Trans New Guinea,dabɛr̃,yam,Madang Comparative Wordlists,-5.06952,145.712,0.165344304069497
hambi,ogea,eri,Nuclear Trans New Guinea,ha:mbi,yam,Madang Comparative Wordlists,-5.37766,145.71,0.906556427405772
mona,ogea,eri,Nuclear Trans New Guinea,moña,yam,Madang Comparative Wordlists,-5.37766,145.71,0.217556097546503
me,pal,abw,Nuclear Trans New Guinea,mɛ,yam,Madang Comparative Wordlists,-4.756,145.24,0.399590749625307
touna,pal,abw,Nuclear Trans New Guinea,touna,yam,Madang Comparative Wordlists,-4.756,145.24,0.984860335339108
mr,pamosu,hih,Nuclear Trans New Guinea,mʌr,yam,Madang Comparative Wordlists,-4.69874,145.288,0.627946596885377
obut,pamosu,hih,Nuclear Trans New Guinea,obut,yam,Madang Comparative Wordlists,-4.69874,145.288,0.931352572015543
malg,panim,pnr,Nuclear Trans New Guinea,malʌg,yam,Madang Comparative Wordlists,-5.21388,145.752,0.870532342584284
o,panim,pnr,Nuclear Trans New Guinea,o:,yam,Madang Comparative Wordlists,-5.21388,145.752,0.492345927416136
agati,paynamar,pmr,Nuclear Trans New Guinea,agati,yam,Madang Comparative Wordlists,-4.94303,144.879,0.538478985944151
unza,paynamar,pmr,Nuclear Trans New Guinea,unza,yam,Madang Comparative Wordlists,-4.94303,144.879,0.195844166498777
kamu,pulabu,pup,Nuclear Trans New Guinea,ka:mu,yam,Madang Comparative Wordlists,-5.59558,145.738,0.544486822886884
munggli,pulabu,pup,Nuclear Trans New Guinea,muŋgʌli,yam,Madang Comparative Wordlists,-5.59558,145.738,0.238285713132681
igon,rapting,rpt,Nuclear Trans New Guinea,igon,yam,Madang Comparative Wordlists,-4.99351,145.671,0.896828934029545
tawel,rapting,rpt,Nuclear Trans New Guinea,tawɛl,yam,Madang Comparative Wordlists,-4.99351,145.671,0.162998052385116
di,rempi,rmp,Nuclear Trans New Guinea,diː,yam,Madang Comparative Wordlists,-5.02487,145.782,0.518699138233784
igon,rempi,rmp,Nuclear Trans New Guinea,iːgon,yam,Madang Comparative Wordlists,-5.02487,145.782,0.608877267580483
halim,rerau,rea,Nuclear Trans New Guinea,halim,yam,Madang Comparative Wordlists,-5.51361,145.716,0.812107012647821
sambi,rerau,rea,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.51361,145.716,0.831335475982067
kung,saep,spd,Nuclear Trans New Guinea,kuŋ,yam,Madang Comparative Wordlists,-5.64812,146.078,0.741969918660487
maleg,saep,spd,Nuclear Trans New Guinea,malɛg,yam,Madang Comparative Wordlists,-5.64812,146.078,0.407438607490396
